Statement,Link,Date,Source,Label
"Says Susana Mendoza is a supporter of the death penalty who could administer it herself and ""‘...sleep like a baby at night…’""",https://www.politifact.com/factchecks/2019/feb/10/toni-preckwinkle/preckwinkle-misrepresents-mendozas-death-penalty-s/,"uary 10, 2019",Toni Preckwinkle,pants-fire
"""Racist picture of Democrat North Carolina Governor Roy Cooper emerges just days after he called on Ralph Northam to resign - DAILY MAIL.""",https://www.politifact.com/factchecks/2019/feb/09/jacob-wohl/trump-supporter-spreads-fake-news-about-nc-governo/,"ruary 8, 2019",Jacob Wohl,pants-fire
"Muslim immigrants were responsible for 11,000 of 13,000 knife attacks in London in the past 12 months.",https://www.politifact.com/factchecks/2019/feb/08/viral-image/theres-no-evidence-muslim-immigrants-are-responsib/,"ruary 8, 2019",Viral image,false
"Says Ben Carson said ""illegal immigrants caught voting should be stripped of their citizenship.""",https://www.politifact.com/factchecks/2019/feb/08/facebook-posts/ben-carson-illegal-immigrants-should-be-stripped/,"ruary 8, 2019",Facebook posts,barely-true
"""The border city of El Paso, Texas, used to have extremely high rates of violent crime — one of the highest in the country, and considered one of our nation's most dangerous cities. Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country.""",https://www.politifact.com/factchecks/2019/feb/08/donald-trump/no-border-barrier-did-not-drive-down-crime-el-paso/,"ruary 8, 2019",Donald Trump,false
Says George Soros was arrested in Switzerland for a web of crimes based on information provided by Barack Obama.,https://www.politifact.com/factchecks/2019/feb/08/blog-posting/no-george-soros-has-not-been-arrested-switzerland-/,"ruary 8, 2019",Bloggers,pants-fire
"""Even the (Congressional Budget Office) says if you lower Medicare to allow 50 year olds to get into it, you can not only save the government money, but you can lower premiums for all Americans.""",https://www.politifact.com/factchecks/2019/feb/08/cory-booker/medicare-booker-cites-non-existent-cbo-study/,"ruary 8, 2019",Cory Booker,false
"""Today, property taxes are lower than they were in 2010.""",https://www.politifact.com/factchecks/2019/feb/08/john-nygren/wisconsin-state-rep-john-nygren-hits-pay-dirt-prop/,"ruary 8, 2019",John Nygren,mostly-true
NASA has discovered a new planet covered with marijuana,https://www.politifact.com/factchecks/2019/feb/08/blog-posting/no-nasa-has-not-discovered-new-planet-covered-mari/,"ruary 8, 2019",Bloggers,pants-fire
"Says Red Cross President and CEO Marsha J. Evans makes ""$651,957 plus expenses"" a year and ""only 9 cents of every dollar"" donated to the organization goes to helping people in need.",https://www.politifact.com/factchecks/2019/feb/08/facebook-posts/refurbished-meme-unsubstantiated-red-cross-ceo-pay/,"ruary 8, 2019",Facebook posts,false
"""The Dems and their committees are going ‘nuts.’ The Republicans never did this to President Obama.""",https://www.politifact.com/factchecks/2019/feb/07/donald-trump/Yes-President-Trump-Congress-also-investigated/,"ruary 7, 2019",Donald Trump,barely-true
"Obamacare premiums ""have gone up 160 percent in West Virginia in 4 yrs.""",https://www.politifact.com/factchecks/2019/feb/07/patrick-morrisey/did-obamacare-premiums-rise-160-percent-west-virgi/,"ruary 7, 2019",Patrick Morrisey,mostly-true
"San Diego’s border barrier ""almost completely ended illegal crossings.""",https://www.politifact.com/factchecks/2019/feb/07/donald-trump/there-are-holes-president-trumps-claim-about-san-d/,"ruary 7, 2019",Donald Trump,half-true
"Says Stacey Abrams said ""Who needs agriculture when you can just get food at the store?""",https://www.politifact.com/factchecks/2019/feb/07/viral-image/no-stacey-abrams-didnt-dismiss-agriculture-because/,"ruary 7, 2019",Viral image,pants-fire
"""All of this work helped us increase graduation rates by 42 percent and substantially reduce the racial achievement gap.""",https://www.politifact.com/factchecks/2019/feb/07/michael-bloomberg/bloomberg-claims-education-gains/,"ruary 7, 2019",Michael Bloomberg,mostly-true
"""70 percent of Americans believe in improved and expanded Medicare for All.""",https://www.politifact.com/factchecks/2019/feb/06/alexandria-ocasio-cortez/ocasio-cortez-70-support-medicare-all/,"ruary 6, 2019",Alexandria Ocasio-Cortez,half-true
"A Virginia principal ""expelled two kids for wearing a crucifix around their necks  saying, ‘there is no place for religion at school.’""",https://www.politifact.com/factchecks/2019/feb/06/viral-image/no-virginia-principal-didnt-expel-students-wearing/,"ruary 6, 2019",Viral image,pants-fire
Says Nancy Pelosi and Beto O’Rourke were photographed with El Chapo.,https://www.politifact.com/factchecks/2019/feb/06/viral-image/viral-image-falsely-identifies-us-congressman-el-c/,"ruary 6, 2019",Viral image,pants-fire
"""Seventy percent of the American public agree with"" Alexandria Ocasio-Cortez ""on having the top marginal (tax) rate for the rich"" at 70 percent, and ""that's a Fox News Poll saying that.""",https://www.politifact.com/factchecks/2019/feb/06/michael-moore/70-americans-favor-70-tax-rich-according-fox-news-/,"ruary 6, 2019",Michael Moore,barely-true
"""Right now, women are able to access an abortion in the later stages of their pregnancy under certain conditions with approval of their medical doctors. I’ve done nothing to change that.""",https://www.politifact.com/factchecks/2019/feb/06/kathy-tran/del-kathy-tran-wrong-saying-bill-wouldnt-change-la/,"ruary 6, 2019",Kathy Tran,false
"During the three times the top marginal tax rates were lowered in the 20th century, ""revenues actually went up while the economy improved in America.""",https://www.politifact.com/factchecks/2019/feb/05/scott-walker/walker-misses-mark-marginal-tax-rates/,"ruary 5, 2019",Scott Walker,barely-true
"""There are almost 60,000 North Carolina children on waiting lists to access a school that works best for them.""",https://www.politifact.com/factchecks/2019/feb/05/civitas-institute/civitas-institute-mostly-correct-school-choice-wai/,"ruary 5, 2019",Civitas Institute,mostly-true
"""FACT: Unemployment rate has not decreased since @WVGovernor took office.""",https://www.politifact.com/factchecks/2019/feb/04/west-virginia-democratic-party/has-unemployment-not-fallen-under-gov-jim-justice/,"ruary 4, 2019",West Virginia Democratic Party,barely-true
"""Our economy is growing at its fastest pace in nearly four years. Unemployment is at an all-time low.""",https://www.politifact.com/factchecks/2019/feb/04/shelley-moore-capito/shelley-moore-capito-mostly-right-about-recent-gdp/,"ruary 4, 2019",Shelley Moore Capito,mostly-true
"Says that Ronald Reagan said he felt like he ""was the one shaking hands with the president"" when he met Donald Trump.",https://www.politifact.com/factchecks/2019/feb/04/viral-image/no-ronald-reagan-didnt-say-meeting-trump-felt-shak/,"ruary 4, 2019",Viral image,pants-fire
Says Hillary Clinton dressed up in blackface.,https://www.politifact.com/factchecks/2019/feb/04/viral-image/no-hillary-clinton-wasnt-pictured-blackface/,"ruary 4, 2019",Viral image,pants-fire
A photograph shows a younger Donald Trump posing with his parents who are in Ku Klux Klan robes.,https://www.politifact.com/factchecks/2019/feb/04/viral-image/no-donald-trumps-parents-were-not-wearing-kkk-robe/,"ruary 4, 2019",Viral image,pants-fire
"""There was virtually no new business investment"" after the 2017 tax law. ""The bulk was used to buy back their own stock.""",https://www.politifact.com/factchecks/2019/feb/04/joe-biden/did-tax-bill-lead-virtually-no-new-business-invest/,"ruary 4, 2019",Joe Biden,half-true
"""In Springfield, Susana Mendoza voted to hit working families with a massive new soda tax.""",https://www.politifact.com/factchecks/2019/feb/03/gery-chico/chicos-soda-tax-swipe-mendoza-falls-flat/,"ruary 3, 2019",Gery Chico,barely-true
"""Not a dollar would be paid out until jobs in the Foxconn development area were created.""",https://www.politifact.com/factchecks/2019/feb/01/wisconsin-republican-legislative-leaders/gop-leaders-claim-foxconn-wont-get-dollar-taxpayer/,"ruary 1, 2019",Wisconsin Republican Legislative leaders,mostly-true
"""Go back to 2005 until now, we have quadrupled the number of Border Patrol agents.""",https://www.politifact.com/factchecks/2019/feb/01/adam-smith/has-number-border-patrol-agents-quadrupled-2005/,"ruary 1, 2019",Adam Smith,false
"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",https://www.politifact.com/factchecks/2019/feb/01/viral-image/no-new-york-abortion-law-doesnt-let-mothers-abort-/,"ruary 1, 2019",Viral image,false
The 1986 Challenger Space Shuttle disaster was a hoax; the crew did not die and are still alive today.,https://www.politifact.com/factchecks/2019/feb/01/facebook-posts/conspiracy-theorists-peddle-fake-claim-about-1986-/,"ruary 1, 2019",Facebook posts,pants-fire
"""15 homeless people have already been found frozen to death in Chicago.""",https://www.politifact.com/factchecks/2019/feb/01/viral-image/no-15-homeless-people-did-not-freeze-death-streets/,"ruary 1, 2019",Viral image,false
"Says Ronald Reagan said, ""Nancy Pelosi is extremely evil.""",https://www.politifact.com/factchecks/2019/feb/01/viral-image/no-ronald-reagan-didnt-call-nancy-pelosi-evil/,"ruary 1, 2019",Viral image,pants-fire
"""New research says drinking wine is more important than exercise for living past 90.""",https://www.politifact.com/factchecks/2019/feb/01/blog-posting/no-study-doesnt-say-drinking-wine-more-important-e/,"ruary 1, 2019",Bloggers,false
"Says Nancy Pelosi spent ""$497 Million on office renovations"" during the government shutdown.",https://www.politifact.com/factchecks/2019/feb/01/blog-posting/no-nancy-pelosi-didnt-spend-457-million-office-ren/,"ruary 1, 2019",Bloggers,pants-fire
"Potential Foxconn changes are due to ""the wave of economic uncertainty"" from Evers administration",https://www.politifact.com/factchecks/2019/feb/01/wisconsin-republican-legislative-leaders/robin-vos-scott-fitzgerald-have-no-business-blamin/,"uary 31, 2019",Wisconsin Republican Legislative leaders,pants-fire
"""The top 0.1 percent ... own about the same wealth as 90 percent of America.""",https://www.politifact.com/factchecks/2019/jan/31/elizabeth-warren/warren-top-01-own-about-much-bottom-90/,"uary 31, 2019",Elizabeth Warren,mostly-true
"Health care is the ""No. 1 reason for bankruptcy.""",https://www.politifact.com/factchecks/2019/jan/31/jose-oliva/health-care-top-reason-bankruptcies-florida-gop-le/,"uary 31, 2019",José Oliva,half-true
"""The cost of living is going up, but paychecks aren't keeping up.""",https://www.politifact.com/factchecks/2019/jan/30/kamala-harris/are-paychecks-failing-keep-inflation/,"uary 30, 2019",Kamala Harris,barely-true
"Says the NC elections board received ""no calls"" after alerting Bladen County voters to possible absentee ballot fraud.",https://www.politifact.com/factchecks/2019/jan/30/dallas-woodhouse/gop-official-falsely-says-bladen-voters-didnt-call/,"uary 30, 2019",Dallas Woodhouse,false
"""Governor Evers, AG Josh Kaul, and Speaker Robin Vos are demanding ‘Red Flag Gun Seizures’ for Wisconsin, which would allow gun seizures with ""no proof, arrest, indictment, conviction or due process at all!""",https://www.politifact.com/factchecks/2019/jan/30/wisconsin-firearms-coalition/wisconsin-firearms-coalition-misfires-claim-agains/,"uary 29, 2019",Wisconsin Firearms Coalition,barely-true
"""Over 40 percent of the American people don't have $400 in the bank.""",https://www.politifact.com/factchecks/2019/jan/29/howard-schultz/checking-howard-schultzs-claim-40-percent-american/,"uary 29, 2019",Howard Schultz,mostly-true
"""There is no tax increase in the governor’s budget plan.""",https://www.politifact.com/factchecks/2019/jan/29/eileen-filler-corn/contrary-eileen-filler-corns-claim-gov-ralph-north/,"uary 29, 2019",Eileen Filler-Corn,barely-true
Says U.S. Rep. Rashida Tlaib was photographed in front of a picture of Osama bin Laden and an ISIS flag.,https://www.politifact.com/factchecks/2019/jan/29/viral-image/no-us-rep-rashida-tlaib-wasnt-photographed-front-p/,"uary 29, 2019",Viral image,pants-fire
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",https://www.politifact.com/factchecks/2019/jan/28/donald-trump/trump-wrongly-tweets-58000-noncitizens-voted-texas/,"uary 28, 2019",Donald Trump,false
"""We are not even into February and the cost of illegal immigration so far this year is $18,959,495,168. Cost Friday was $603,331,392. There are at least 25,772,342 illegal aliens, not the 11,000,000 that have been reported for years, in our Country.""",https://www.politifact.com/factchecks/2019/jan/28/donald-trump/fact-checking-donald-trumps-claim-cost-illegal-imm/,"uary 28, 2019",Donald Trump,false
"""President Trump has the strongest support percentage-wise in our state than any other state in the nation. He won West Virginia by almost 43 percentage points and he's been carrying close to 60 percent approval.""",https://www.politifact.com/factchecks/2019/jan/28/joe-manchin/donald-trumps-approval-rating-highest-all-west-vir/,"uary 28, 2019",Joe Manchin,mostly-true
"Says Chicago ""had the lowest murder rates in a generation"" during his time as police superintendent.",https://www.politifact.com/factchecks/2019/jan/27/garry-mccarthy/did-mccarthy-rein-chicagos-high-murder-rate/,"uary 27, 2019",Garry McCarthy,barely-true
"""Every county, including Chittenden, has fewer people available for work.""",https://www.politifact.com/factchecks/2019/jan/26/phil-scott/vermonts-governor-says-entire-state-losing-workers/,"uary 25, 2019",Phil Scott,false
On directing the attorney general to withdraw Wisconsin from pre-existing conditions lawsuit.,https://www.politifact.com/factchecks/2019/jan/26/tony-evers/gov-tony-evers-reverses-position-pulling-wisconsin/,"uary 25, 2019",Tony Evers,full-flop
"""One in three women is sexually assaulted on the dangerous journey north.""",https://www.politifact.com/factchecks/2019/jan/25/donald-trump/trump-said-1-3-migrant-women-sexually-assaulted-jo/,"uary 25, 2019",Donald Trump,half-true
"Says Planned Parenthood founder Margaret Sanger said, ""Slav, Latin and Hebrew immigrants are human weeds . . . a deadweight of human waste. Blacks, soldiers and Jews are a menace to race.""",https://www.politifact.com/factchecks/2019/jan/25/viral-image/no-margaret-sanger-never-said-slav-latin-and-hebre/,"uary 25, 2019",Viral image,pants-fire
"""7 million more Americans are uninsured now than when President Trump was elected.""",https://www.politifact.com/factchecks/2019/jan/25/maria-cantwell/have-7-million-americans-become-uninsured-2016/,"uary 25, 2019",Maria Cantwell,half-true
"Says Kurt Russell said ""if the Dems regain power, they have promised to abolish the 1st, 2nd, 4th, 5th & 6th amendments. Also the Senate, the Electoral College, the Supreme Court, borders, ICE, and more. When do we get to declare them enemies of the state?""",https://www.politifact.com/factchecks/2019/jan/25/viral-image/kurt-russell-didnt-suggest-democrats-are-enemies-s/,"uary 25, 2019",Viral image,pants-fire
"The NRA is ""one of the biggest lobbyists here in the capital. They spend a ton of money during elections. …  they spent more than a million dollars here in Wisconsin on the 2018 elections. Most of that was for Walker, or more specifically against Evers.""",https://www.politifact.com/factchecks/2019/jan/24/matthew-rothschild/wisconsin-democracy-hits-and-misses-claims-against/,"uary 24, 2019",Matthew Rothschild,half-true
"Says Democrats want to give $54 billion in foreign aid, and Trump is only asking for 10 percent of that ""to secure our border and build a wall.",https://www.politifact.com/factchecks/2019/jan/24/richard-hudson/defending-trumps-request-wall-funding-congressman-/,"uary 24, 2019",Richard Hudson,barely-true
"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes.""",https://www.politifact.com/factchecks/2019/jan/24/maria-bartiromo/fox-news-host-clashes-ocasio-cortez-over-taxing-ri/,"uary 24, 2019",Maria Bartiromo,barely-true
"Says U.S. Rep. Alexandria Ocasio-Cortez said ""owning guns IS NOT a right, if it were a right it would be in the Constitution.""",https://www.politifact.com/factchecks/2019/jan/24/viral-image/no-rep-ocasio-cortez-did-not-say-owning-guns-not-r/,"uary 24, 2019",Viral image,pants-fire
"""18 million illegal immigrants got their government checks this month"" while federal workers remain unpaid.",https://www.politifact.com/factchecks/2019/jan/24/facebook-posts/no-18-million-illegal-immigrants-did-not-get-gover/,"uary 24, 2019",Facebook posts,pants-fire
"Says the mother of Covington student Nick Sandmann said ""I only wish the pioneers had brought more blankets with smallpox.""",https://www.politifact.com/factchecks/2019/jan/24/viral-image/covington-mother-tweet-native-americans-smallpox/,"uary 24, 2019",Viral image,pants-fire
Pepsi admitted an employee contaminated its products with AIDS.,https://www.politifact.com/factchecks/2019/jan/23/facebook-posts/no-pepsi-employee-didnt-contaminate-companys-produ/,"uary 23, 2019",Facebook posts,pants-fire
"""Nancy Pelosi Removed From Benefit for ‘Being So Drunk She Couldn’t Stand Up’ """,https://www.politifact.com/factchecks/2019/jan/23/thelastlineofdefenseorg/no-nancy-pelosi-did-not-get-obscenely-drunk-cancer/,"uary 23, 2019",TheLastLineOfDefense.org,pants-fire
"""I’ve always supported protections for our DREAMers.""",https://www.politifact.com/factchecks/2019/jan/23/rick-scott/sen-rick-scott-said-he-always-supported-dreamers-s/,"uary 23, 2019",Rick Scott,false
"""Pelosi’s Secret Overseas Mission Included 93 Family Members""",https://www.politifact.com/factchecks/2019/jan/23/blog-posting/no-nancy-pelosi-did-not-plan-bring-93-family-membe/,"uary 23, 2019",Bloggers,pants-fire
"U.S. Rep. Alexandria Ocasio-Cortez has secured a seat on the House Financial Services Committee but her ""credit score is 430 and has had two checking accounts closed, along with two sheriff's evictions.""",https://www.politifact.com/factchecks/2019/jan/23/facebook-posts/fake-rumor-spreads-about-alexandria-ocasio-cortez-/,"uary 23, 2019",Facebook posts,pants-fire
"On extreme-risk guns laws, ""This idea has passed Republican legislatures in other states and has been signed by Republican governors.""",https://www.politifact.com/factchecks/2019/jan/23/ralph-northam/ralph-northam-right-gop-governors-and-legislatures/,"uary 23, 2019",Ralph Northam,true
"""Kamala Harris is NOT eligible to be President.""",https://www.politifact.com/factchecks/2019/jan/22/jacob-wohl/yes-kamala-harris-eligible-run-president/,"uary 22, 2019",Jacob Wohl,pants-fire
"""Nancy Pelosi's bill for alcohol on her flights from Washington to San Fran every week? We pay for it. 1000 dollars. On average 52,000 Bucks, a year for BOOZE. Tax payer money.""",https://www.politifact.com/factchecks/2019/jan/22/chuck-woolery/no-evidence-back-claim-about-pelosi-bar-tab/,"uary 22, 2019",Chuck Woolery,pants-fire
"When using an ATM, customers should ""press the cancel button twice before inserting the card. If anyone has set up the keypad to steal your pin code, this will cancel that set up.""",https://www.politifact.com/factchecks/2019/jan/22/facebook-posts/does-pressing-cancel-twice-atm-protect-your-pin-be/,"uary 22, 2019",Facebook posts,pants-fire
"Says Bill Murray said ""The best way to teach your kids about taxes is by eating 30% of their ice cream.""",https://www.politifact.com/factchecks/2019/jan/22/viral-image/no-bill-murray-isnt-serving-tax-advice-ice-cream/,"uary 22, 2019",Viral image,false
Says Congress set aside $50 billion for the Secure Fence Act in 2006,https://www.politifact.com/factchecks/2019/jan/22/facebook-posts/no-congress-did-not-approve-50-billion-border-fenc/,"uary 22, 2019",Facebook posts,false
"""The debate on securing our border can't be measured in partisan jabs. It has to be measured in the human toll caused by porous borders: 1/3 migrant women are sexually assaulted;  7/10 migrants are victims of violence; 20k migrant children were illegally smuggled last month.""",https://www.politifact.com/factchecks/2019/jan/21/mark-walker/fact-checking-mark-walkers-tweet-about-migrants-an/,"uary 21, 2019",Mark Walker,barely-true
"As for recreational marijuana revenue projections, ""we are seeing all those numbers reach disappointing levels in the states that have legalized. They’re not meeting their targets for the most part.""",https://www.politifact.com/factchecks/2019/jan/21/patricia-fahy/fahy-claims-marijuana-revenue-disappointing/,"uary 21, 2019",Patricia Fahy,barely-true
"""As chairman of the City Colleges, I cut millions in waste and we cut property taxes.""",https://www.politifact.com/factchecks/2019/jan/20/gery-chico/did-chico-cut-waste-and-slash-taxes-during-his-cit/,"uary 20, 2019",Gery Chico,half-true
Says Elizabeth Warren has a racist figurine in her kitchen.,https://www.politifact.com/factchecks/2019/jan/18/viral-image/no-elizabeth-warren-doesnt-have-racist-art-her-kit/,"uary 18, 2019",Viral image,pants-fire
"Says Donald Trump ""said illegal immigration has been a problem in America for 'thousands of years.' """,https://www.politifact.com/factchecks/2019/jan/18/facebook-posts/no-trump-didnt-say-illegal-immigration-has-been-pr/,"uary 18, 2019",Facebook posts,false
"After the White House fast food dinner, Clemson quarterback Trevor Lawrence said the ""coastal elite media"" trashed it ""for not being organic vegan"" and that it was ""a perfect blue collar party.""",https://www.politifact.com/factchecks/2019/jan/18/viral-image/clemsons-trevor-lawrence-did-not-say-white-house-f/,"uary 18, 2019",Viral image,pants-fire
"Say that former Clinton Foundation CEO Eric Braverman ""has been missing for 70+ days.""",https://www.politifact.com/factchecks/2019/jan/18/facebook-posts/no-former-clinton-foundation-ceo-eric-braverman-no/,"uary 18, 2019",Facebook posts,pants-fire
On dissolving the Wisconsin Economic Development Corp. in his first budget,https://www.politifact.com/factchecks/2019/jan/17/tony-evers/wisconsin-gov-evers-flips-position-dissolving-wedc/,"uary 17, 2019",Tony Evers,full-flop
"""The caliphate has crumbled and ISIS has been defeated.""",https://www.politifact.com/factchecks/2019/jan/17/mike-pence/mike-pence-wrong-isis-has-been-defeated/,"uary 17, 2019",Mike Pence,barely-true
"Says there are ""2,000 inadmissible migrants arriving every day""",https://www.politifact.com/factchecks/2019/jan/17/ted-budd/how-many-migrants-come-us-each-day-republican-says/,"uary 17, 2019",Ted Budd,half-true
"""Municipalities are now required to have two or more polling locations opened 24-hours a day, two weeks before any election.""",https://www.politifact.com/factchecks/2019/jan/15/jim-ott/state-rep-jim-ott-misfires-early-voting-claim/,"uary 15, 2019",Jim Ott,false
"""BREAKING: Trump family donates $1 billion to wall fund.""",https://www.politifact.com/factchecks/2019/jan/15/blog-posting/no-trump-family-did-not-donate-1-billion-border-wa/,"uary 15, 2019",Bloggers,pants-fire
"Quotes President Donald Trump as saying, ""You tell people a lie three times, they will believe anything. You tell people what they want to hear, play to their fantasies, and then you close the deal.""",https://www.politifact.com/factchecks/2019/jan/15/blog-posting/recycled-meme-falsely-says-trump-bragged-about-lyi/,"uary 15, 2019",Bloggers,false
"""March 2019 and on-going food benefits WILL NOT be available until further notice. Clients are encouraged to use their food benefits as soon as possible in case SNAP benefits are unavailable in March.""",https://www.politifact.com/factchecks/2019/jan/15/delaware-health-and-social-services/are-food-stamps-going-be-unavailable-march/,"uary 15, 2019",Delaware Health and Social Services,half-true
"Says she ""made sure Laquan McDonald’s autopsy went public"" and ""called for the dash cam footage to be released.""",https://www.politifact.com/factchecks/2019/jan/15/toni-preckwinkle/preckwinkle-inflates-role-shedding-light-mcdonald-/,"uary 15, 2019",Toni Preckwinkle,half-true
"""Lettuce killed more Americans this year than undocumented immigrants.""",https://www.politifact.com/factchecks/2019/jan/15/viral-image/did-lettuce-kill-more-americans-undocumented-immig/,"uary 15, 2019",Viral image,false
"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",https://www.politifact.com/factchecks/2019/jan/15/mark-warner/trump-wants-lift-sanctions-related-russian-oligarc/,"uary 15, 2019",Mark Warner,half-true
"""We took a deal to the president just last February, less than a year ago -- $25 billion over 10 years in border security done the right way - and the president blew up the deal.""",https://www.politifact.com/factchecks/2019/jan/15/tim-kaine/tim-kaine-mostly-accurate-about-trump-nixing-25-bi/,"uary 15, 2019",Tim Kaine,mostly-true
"Says Henry Kissinger said ""Trump is the one true leader in world affairs and he is forcing policy changes that put America first!""",https://www.politifact.com/factchecks/2019/jan/14/blog-posting/henry-kissinger-did-not-say-what-you-think-he-said/,"uary 14, 2019",Bloggers,false
"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""",https://www.politifact.com/factchecks/2019/jan/14/blog-posting/mccarran-walter-act-1952-never-banned-muslims-publ/,"uary 14, 2019",Bloggers,pants-fire
"A bill passed by GOP legislators ""makes it harder to prosecute people and groups that violate campaign finance laws.""",https://www.politifact.com/factchecks/2019/jan/14/roy-cooper/new-nc-law-makes-small-significant-changes-campaig/,"uary 14, 2019",Roy Cooper,true
"Says new U.S. Democratic Rep. Rashida Tlaib has been linked to an ""unindicted terrorist.""",https://www.politifact.com/factchecks/2019/jan/14/blog-posting/does-new-us-rep-rashida-tlaib-have-connection-unin/,"uary 14, 2019",Bloggers,barely-true
"""The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry.""",https://www.politifact.com/factchecks/2019/jan/14/nita-lowey/majority-opioids-come-us-through-points-entry-lowe/,"uary 14, 2019",Nita Lowey,true
"""Every city that has a commuter tax — look at Detroit, Philadelphia — they are actually stagnating in terms of their economy. It’s been a job-killer.""",https://www.politifact.com/factchecks/2019/jan/13/susana-mendoza/mendoza-stretches-facts-commuter-tax/,"uary 13, 2019",Susana Mendoza,barely-true
"""17,000 individuals with criminal records were apprehended trying to cross the border"" in 2018.",https://www.politifact.com/factchecks/2019/jan/11/sean-hannity/how-many-criminal-aliens-were-stopped-border-last-/,"uary 11, 2019",Sean Hannity,half-true
"Says there’s ""never (been) so many apprehensions ever in our history.""",https://www.politifact.com/factchecks/2019/jan/11/donald-trump/donald-trump-falsely-says-theres-never-been-so-man/,"uary 11, 2019",Donald Trump,false
"In the lame-duck session, ""no power was taken away from the governor. Power was not taken away from the attorney general.""",https://www.politifact.com/factchecks/2019/jan/11/roger-roth/roger-roth-incorrectly-wrong-on-lame-duck-bills/,"uary 10, 2019",Roger Roth,pants-fire
"""When I say Mexico is going to pay for the wall, that's what I said. Mexico is going to pay. I didn't say they're going to write me a check for $20 billion or $10 billion.""",https://www.politifact.com/factchecks/2019/jan/10/donald-trump/trump-claims-he-never-meant-mexico-would-write-che/,"uary 10, 2019",Donald Trump,false
"""As of September 2018, there are 6,683 WV children in foster care — 1,415 of whom are legally eligible for adoption.""",https://www.politifact.com/factchecks/2019/jan/10/jim-justice/jim-justice-mostly-correct-adoption-statistics/,"uary 10, 2019",Jim Justice,mostly-true
"California’s deadly wildfires ""would never happen"" with ""proper Forest Management.""",https://www.politifact.com/factchecks/2019/jan/09/donald-trump/trump-repeats-overly-simplistic-false-claim-califo/,"nuary 9, 2019",Donald Trump,false
"""Since 2001, 63,000 of us were murdered by illegal aliens.""  ​",https://www.politifact.com/factchecks/2019/jan/09/blog-posting/claim-about-63000-americans-being-killed-illegal-i/,"nuary 9, 2019",Bloggers,false
"""2,000 illegal aliens were arrested by ICE in 2017 for murders committed here in the United States!""",https://www.politifact.com/factchecks/2019/jan/09/viral-image/no-ice-did-not-arrest-2000-undocumented-immigrants/,"nuary 9, 2019",Viral image,false
"Says ""the Rothschild family holds about 80 percent of the world’s total wealth"" and has the ability to ""literally feed, clothe and settle every man, woman and child on the planet if they wanted to.""",https://www.politifact.com/factchecks/2019/jan/09/viral-image/meme-way-rothschild-family-wealth-they-do-not-cont/,"nuary 9, 2019",Viral image,pants-fire
"Says Sen. Charles Schumer ""repeatedly supported a physical barrier in the past along with many other Democrats. They changed their mind only after I was elected president.""",https://www.politifact.com/factchecks/2019/jan/09/donald-trump/trump-democrats-reverse-border-wall-position/,"nuary 9, 2019",Donald Trump,barely-true
"""At the request of Democrats, it will be a steel barrier rather than a concrete wall.""",https://www.politifact.com/factchecks/2019/jan/09/donald-trump/no-democrats-didnt-ask-steel-wall-donald-trump/,"nuary 9, 2019",Donald Trump,false
"New U.S. Rep. Rashida Tlaib tweeted ""Americans have spent decades raping and pillaging my people. What goes around comes around.""",https://www.politifact.com/factchecks/2019/jan/09/blog-posting/no-rashida-tlaib-did-not-tweet-about-raping-and-pi/,"nuary 9, 2019",Bloggers,pants-fire
"With the Republican tax law, ""the rich folks got $1.5 trillion.""",https://www.politifact.com/factchecks/2019/jan/09/elizabeth-warren/warren-overstates-share-tax-cuts-rich/,"nuary 9, 2019",Elizabeth Warren,half-true
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",https://www.politifact.com/factchecks/2019/jan/09/donald-trump/trump-soviet-invasion-afghanistan-facts-wrong/,"nuary 9, 2019",Donald Trump,pants-fire
"""Wisconsin lost over 600 farms last year & our farmers can't afford the #TrumpShutdown.""",https://www.politifact.com/factchecks/2019/jan/09/tammy-baldwin/sen-tammy-baldwin-makes-hay-farm-claim/,"nuary 8, 2019",Tammy Baldwin,mostly-true
"Says former North Carolina elections board chairman ""tried to drag a cancer-stricken woman out of her hospital bed to testify at her son’s hearing on the first day of early voting over a bogus complaint that the board hadn’t even fully investigated.""",https://www.politifact.com/factchecks/2019/jan/08/phil-berger/no-election-board-leader-didnt-try-drag-woman-out-/,"nuary 8, 2019",Phil Berger,barely-true
"""This midterm (election), the president did better than the average president does in his first midterms.""",https://www.politifact.com/factchecks/2019/jan/08/jerry-falwell/contrary-falwell-claim-trump-did-worse-average-pre/,"nuary 8, 2019",Jerry Falwell Jr.,false
